,02VN018b,02VN078b,BANNA_CH,BJ9575,GS07-KD12,GS07-KD15,GS07-KD16,GS07-KD18,GS07-KD27,GS07-KD30,GS07-KD32,GS07-KD38,HB1401,JKT-6423,JKT-6969,JKT-7043,LN0688,LN0689,NM0706,SX0765,SX0766,SX0767,SX0789,SX0790,SX0795,SX0796,YN0659,YN6,YNSC043,QTM104536,LN0767,LN0776,LN0764,LN0789,LN0762,GS07-KD42
SX0789,86.6,95.4,88,88,98.6,98.6,98.6,98.6,98.6,98.2,97.9,98.2,67.4,88.3,42.1,42.1,93.3,92.9,86.2,98.9,98.9,98.6,100,98.4,99.2,99.2,84.5,84.5,84.4,65.6,85.6,85,96.8,84.5,84.6,84.5
SX0790,86.6,95.4,88,88,98.6,98.6,98.6,98.6,98.6,98.2,97.9,98.2,67.4,88.3,42.1,42.1,93.3,92.9,86.2,98.9,98.9,98.6,100,100,99.4,99.4,84.3,84.3,84.2,65.8,85.6,85,96.6,84.3,84.4,84.3
SX0795,86.2,94.3,88,88,97.5,97.5,97.5,97.5,97.5,97.2,96.8,97.2,66.7,88,41.8,41.8,92.6,92.2,86.2,97.9,97.9,97.5,98.9,98.9,100,100,84.3,84.3,84.2,65.6,85.3,84.7,96.2,84.3,84.4,84.3
SX0796,86.2,94.3,88,88,97.5,97.5,97.5,97.5,97.5,97.2,96.8,97.2,66.7,88,41.8,41.8,92.6,92.2,86.2,97.9,97.9,97.5,98.9,98.9,100,100,84.3,84.3,84.2,65.6,85.3,84.7,96.2,84.3,84.4,84.3
YN0659,88.7,85.2,99.3,99.3,86.9,86.9,86.9,86.9,86.9,86.6,86.2,86.6,64.2,89,41.1,41.1,86.2,85.9,97.9,86.2,86.2,85.9,87.3,87.3,87.3,87.3,100,100,98.7,66.4,85.3,85.7,84,96,96.4,96
YN6,88.7,85.2,99.3,99.3,86.9,86.9,86.9,86.9,86.9,86.6,86.2,86.6,64.2,89,41.1,41.1,86.2,85.9,97.9,86.2,86.2,85.9,87.3,87.3,87.3,87.3,100,100,98.7,66.4,85.3,85.7,84,96,96.4,96
YNSC043,89,85.5,99.6,99.6,87.3,87.3,87.3,87.3,87.3,86.9,86.6,86.9,64.5,89.4,40.7,40.7,86.6,86.2,98.2,86.6,86.6,86.2,87.6,87.6,87.6,87.6,99.6,99.6,100,66.2,85.2,85.6,83.9,96.4,96.7,96.4
QTM104536,69.9,68.8,66.7,66.7,69.1,69.1,69.1,69.1,69.1,68.8,68.4,68.8,90.8,70.2,40.7,40.7,67,66.7,66.8,68.8,68.8,68.8,68.4,68.4,67.7,67.7,66.7,66.7,66.3,100,67.7,68.7,64.9,66.2,66.1,66.3
LN0767,95.4,86.2,89,89,87.6,87.6,87.6,87.6,87.6,87.3,86.9,87.3,67,90.5,40.4,40.4,88,87.6,87.3,87.3,87.3,86.9,88.3,88.3,88,88,88.3,88.3,88.7,68.8,100,96.8,85.1,84.3,84.6,84.3
LN0776,94.3,87.3,90.1,90.1,88.7,88.7,88.7,88.7,88.7,88.3,88,88.3,67.7,91.5,41.1,41.1,88.7,88.3,88.3,88.3,88.3,88,89.4,89.4,89,89,89.4,89.4,89.8,69.5,98.2,100,84.4,84.6,85,84.6
LN0764,85.9,95.4,87.6,87.6,97.9,97.9,97.9,97.9,97.9,98.2,97.9,98.2,66.3,88.7,41.8,41.8,93.6,93.3,86.9,97.2,97.2,96.8,97.5,97.5,96.5,96.5,86.9,86.9,87.3,67.7,87.6,88.7,100,83.3,83.5,83.3
LN0789,88,84.5,98.2,98.2,86.2,86.2,86.2,86.2,86.2,85.9,85.5,85.9,63.8,88.3,40.4,40.4,85.5,85.2,98.2,85.5,85.5,85.2,86.6,86.6,86.6,86.6,98.2,98.2,98.6,65.2,87.6,88.7,86.2,100,99.2,99.8
LN0762,88.7,85.2,98.9,98.9,86.9,86.9,86.9,86.9,86.9,86.6,86.2,86.6,64.2,89,41.1,41.1,86.2,85.9,98.9,86.2,86.2,85.9,87.3,87.3,87.3,87.3,98.9,98.9,99.3,66,88.3,89.4,86.9,99.3,100,99.2
GS07-KD42,88,84.5,98.2,98.2,86.2,86.2,86.2,86.2,86.2,85.9,85.5,85.9,63.8,88.3,40.4,40.4,85.5,85.2,98.2,85.5,85.5,85.2,86.6,86.6,86.6,86.6,98.2,98.2,98.6,65.2,87.6,88.7,86.2,99.6,99.3,100
